Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD1,Ahmedabad,Jadavpur University,1st,Electric Vehicle,Instagram
LD2,Trivandrum,ABC Institute,1st,Cloud Computing,College Collaboration
LD3,Patna,ABC Institute,4th,Electric Vehicle,Mass-Mailing
LD4,Kolkata,University of Delhi,4th,Cloud Computing,Facebook
LD5,Visakhapatnam,NIT Trichy,3rd,Data Science,WhatsApp
LD6,Delhi,XYZ University,4th,AI,Email
LD7,Mumbai,MIT Pune,2nd,Cloud Computing,College Collaboration
LD8,Hyderabad,NIT Trichy,1st,Data Science,Instagram
LD9,Lucknow,NIT Trichy,2nd,Robotics,LinkedIn
LD10,Bangalore,Jamia Millia Islamia,3rd,Machine Learning,College Collaboration
LD11,Pune,XYZ University,1st,AI,Instagram
LD12,Coimbatore,Jadavpur University,2nd,Data Science,WhatsApp
LD13,Pune,Jamia Millia Islamia,1st,Robotics,Google Form
LD14,Mumbai,ABC Institute,2nd,Machine Learning,Referral
LD15,Hyderabad,Bharati Vidyapeeth,3rd,Cyber Security,Google Form
LD16,Lucknow,NIT Warangal,1st,Data Science,Mass-Mailing
LD17,Bhopal,NIT Warangal,2nd,Machine Learning,Mass-Mailing
LD18,Bangalore,NIT Trichy,3rd,Machine Learning,Facebook
LD19,Lucknow,SP College,1st,Cyber Security,LinkedIn
LD20,Delhi,University of Delhi,4th,Robotics,Mass-Mailing
LD21,Surat,NIT Trichy,3rd,Cloud Computing,LinkedIn
LD22,Jaipur,NIT Trichy,1st,Cloud Computing,Instagram
LD23,Bhopal,ABC Institute,2nd,Data Science,Email
LD24,Jaipur,VIT Vellore,2nd,Cloud Computing,Google Form
LD25,Nagpur,SP College,4th,Electric Vehicle,LinkedIn
LD26,Jaipur,Shivaji University,2nd,Machine Learning,Referral
LD27,Patna,Bharati Vidyapeeth,2nd,Machine Learning,WhatsApp
LD28,Bhopal,MIT Pune,1st,Machine Learning,Referral
LD29,Bhopal,IISc Bangalore,4th,Robotics,Instagram
LD30,Mumbai,SP College,1st,Cyber Security,Mass-Mailing
LD31,Trivandrum,Jadavpur University,3rd,Data Science,WhatsApp
LD32,Bangalore,SP College,1st,Robotics,Google Form
LD33,Mumbai,ABC Institute,1st,Cyber Security,Google Form
LD34,Delhi,Amity University,1st,Robotics,LinkedIn
LD35,Chandigarh,BITS Pilani,1st,Cloud Computing,Email
LD36,Mumbai,NIT Warangal,2nd,Data Science,WhatsApp
LD37,Mumbai,Amity University,3rd,AI,College Collaboration
LD38,Surat,Shivaji University,2nd,AI,Referral
LD39,Visakhapatnam,XYZ University,1st,Data Science,College Collaboration
LD40,Pune,ABC Institute,3rd,Cloud Computing,Mass-Mailing
LD41,Surat,NIT Trichy,3rd,AI,Google Form
LD42,Ahmedabad,Shiv Nadar University,2nd,Data Science,Email
LD43,Chandigarh,IIT Bombay,4th,AI,LinkedIn
LD44,Chandigarh,SP College,1st,Machine Learning,LinkedIn
LD45,Kolkata,IISc Bangalore,4th,Machine Learning,LinkedIn
LD46,Pune,University of Delhi,1st,Robotics,College Collaboration
LD47,Hyderabad,Amity University,4th,Electric Vehicle,LinkedIn
LD48,Chandigarh,University of Delhi,4th,Robotics,Instagram
LD49,Delhi,IISc Bangalore,2nd,Cyber Security,Instagram
LD50,Surat,Jadavpur University,1st,Machine Learning,LinkedIn
LD51,Lucknow,SP College,3rd,Data Science,Instagram
LD52,Mumbai,University of Delhi,2nd,Robotics,College Collaboration
LD53,Bhopal,Jadavpur University,3rd,Data Science,Facebook
LD54,Jaipur,University of Delhi,1st,Machine Learning,WhatsApp
LD55,Indore,VIT Vellore,3rd,Cyber Security,Mass-Mailing
LD56,Vadodara,SRM University,3rd,Cyber Security,Google Form
LD57,Nagpur,IIT Bombay,4th,AI,Referral
LD58,Pune,Shivaji University,4th,Electric Vehicle,Email
LD59,Bangalore,IIT Delhi,2nd,Electric Vehicle,College Collaboration
LD60,Bangalore,NIT Warangal,3rd,Cyber Security,LinkedIn
LD61,Jaipur,Jadavpur University,2nd,Data Science,College Collaboration
LD62,Chennai,XYZ University,2nd,Cloud Computing,Referral
LD63,Coimbatore,Shivaji University,3rd,Electric Vehicle,Google Form
LD64,Mumbai,Shiv Nadar University,3rd,Cyber Security,Instagram
LD65,Mumbai,MIT Pune,3rd,Cloud Computing,Mass-Mailing
LD66,Indore,NIT Warangal,2nd,Cyber Security,Mass-Mailing
LD67,Surat,Shivaji University,3rd,Data Science,WhatsApp
LD68,Nagpur,MIT Pune,3rd,Cyber Security,Facebook
LD69,Mumbai,NIT Warangal,3rd,Cloud Computing,Google Form
LD70,Patna,ABC Institute,2nd,AI,LinkedIn
LD71,Trivandrum,Jamia Millia Islamia,1st,Cloud Computing,College Collaboration
LD72,Ahmedabad,Bharati Vidyapeeth,2nd,AI,WhatsApp
LD73,Visakhapatnam,IISc Bangalore,3rd,AI,Facebook
LD74,Surat,Amity University,4th,Cyber Security,Email
